kind,scope,sharedUi,action,currentFile,currentClass,currentSelector,templateUrl,styleUrls,proposedBase,proposedClass,proposedSelector,confidence,notes
Component,landing,,rename,apps/landing/src/app/pages/ddl/hero-variants/hero-variants.page.ts,HeroVariantsPage,landing-hero-variants-page,,,ddl-hero-variants,DdlHeroVariants,landing-ddl-hero-variants,high,page-dropped;ddl-showcase
Component,landing,,rename,apps/landing/src/app/pages/ddl/interactions/interactions.page.ts,InteractionsPage,landing-interactions-page,apps/landing/src/app/pages/ddl/interactions/interactions.page.html,apps/landing/src/app/pages/ddl/interactions/interactions.page.scss,ddl-interactions,DdlInteractions,landing-ddl-interactions,high,page-dropped;ddl-showcase
Component,landing,,rename,apps/landing/src/app/pages/ddl/language-switcher/language-switcher.page.ts,LanguageSwitcherPage,landing-language-switcher-page,apps/landing/src/app/pages/ddl/language-switcher/language-switcher.page.html,apps/landing/src/app/pages/ddl/language-switcher/language-switcher.page.scss,ddl-language-switcher,DdlLanguageSwitcher,landing-ddl-language-switcher,high,page-dropped;ddl-showcase
Component,landing,,rename,apps/landing/src/app/pages/ddl/lightbox/lightbox.page.ts,LightboxPage,landing-lightbox-page,apps/landing/src/app/pages/ddl/lightbox/lightbox.page.html,apps/landing/src/app/pages/ddl/lightbox/lightbox.page.scss,ddl-lightbox,DdlLightbox,landing-ddl-lightbox,high,page-dropped;ddl-showcase
Component,landing,,rename,apps/landing/src/app/pages/ddl/mega-menu/mega-menu.page.ts,MegaMenuDdlPage,landing-mega-menu-ddl-page,apps/landing/src/app/pages/ddl/mega-menu/mega-menu.page.html,apps/landing/src/app/pages/ddl/mega-menu/mega-menu.page.scss,ddl-mega-menu-ddl,DdlMegaMenuDdl,landing-ddl-mega-menu-ddl,high,page-dropped;ddl-showcase
Component,landing,,rename,apps/landing/src/app/pages/ddl/mobile-nav/mobile-nav.page.ts,MobileNavPage,landing-ddl-mobile-nav-page,,,ddl-mobile-nav,DdlMobileNav,landing-ddl-mobile-nav,high,page-dropped;ddl-showcase
Component,landing,,rename,apps/landing/src/app/pages/ddl/page-hero/page-hero.page.ts,PageHeroPage,landing-ddl-page-hero,,,ddl-page-hero,DdlPageHero,landing-ddl-page-hero,high,ddl-showcase
Component,landing,,rename,apps/landing/src/app/pages/ddl/page-shell/page-shell.page.ts,PageShellPage,landing-ddl-page-shell,,,ddl-page-shell,DdlPageShell,landing-ddl-page-shell,high,ddl-showcase
Component,landing,,rename,apps/landing/src/app/pages/ddl/philosophy-strip/philosophy-strip.page.ts,PhilosophyStripPage,landing-philosophy-strip-page,apps/landing/src/app/pages/ddl/philosophy-strip/philosophy-strip.page.html,apps/landing/src/app/pages/ddl/philosophy-strip/philosophy-strip.page.scss,ddl-philosophy-strip,DdlPhilosophyStrip,landing-ddl-philosophy-strip,high,page-dropped;ddl-showcase
Component,landing,,rename,apps/landing/src/app/pages/ddl/project-detail-explore/project-detail-explore.page.ts,ProjectDetailExplorePage,landing-project-detail-explore-page,apps/landing/src/app/pages/ddl/project-detail-explore/project-detail-explore.page.html,apps/landing/src/app/pages/ddl/project-detail-explore/project-detail-explore.page.scss,ddl-project-detail-explore,DdlProjectDetailExplore,landing-ddl-project-detail-explore,high,page-dropped;ddl-showcase
Component,landing,,rename,apps/landing/src/app/pages/ddl/prose-flow/prose-flow.page.ts,ProseFlowPage,landing-prose-flow-page,apps/landing/src/app/pages/ddl/prose-flow/prose-flow.page.html,apps/landing/src/app/pages/ddl/prose-flow/prose-flow.page.scss,ddl-prose-flow,DdlProseFlow,landing-ddl-prose-flow,high,page-dropped;ddl-showcase
Component,landing,,rename,apps/landing/src/app/pages/ddl/scroll-edge-fade/scroll-edge-fade.page.ts,ScrollEdgeFadePage,landing-scroll-edge-fade-page,apps/landing/src/app/pages/ddl/scroll-edge-fade/scroll-edge-fade.page.html,apps/landing/src/app/pages/ddl/scroll-edge-fade/scroll-edge-fade.page.scss,ddl-scroll-edge-fade,DdlScrollEdgeFade,landing-ddl-scroll-edge-fade,high,page-dropped;ddl-showcase
Component,landing,,rename,apps/landing/src/app/pages/ddl/section-header/section-header.page.ts,SectionHeaderPage,landing-section-header-page,,,ddl-section-header,DdlSectionHeader,landing-ddl-section-header,high,page-dropped;ddl-showcase
Component,landing,,rename,apps/landing/src/app/pages/ddl/selected-work-transitions/selected-work-transitions.page.ts,SelectedWorkTransitionsPage,landing-selected-work-transitions-page,apps/landing/src/app/pages/ddl/selected-work-transitions/selected-work-transitions.page.html,apps/landing/src/app/pages/ddl/selected-work-transitions/selected-work-transitions.page.scss,ddl-selected-work-transitions,DdlSelectedWorkTransitions,landing-ddl-selected-work-transitions,high,page-dropped;ddl-showcase
Component,landing,,rename,apps/landing/src/app/pages/ddl/show-more/show-more.page.ts,ShowMoreDdlPage,landing-show-more-ddl-page,apps/landing/src/app/pages/ddl/show-more/show-more.page.html,apps/landing/src/app/pages/ddl/show-more/show-more.page.scss,ddl-show-more-ddl,DdlShowMoreDdl,landing-ddl-show-more-ddl,high,page-dropped;ddl-showcase
Component,landing,,rename,apps/landing/src/app/pages/ddl/stack/stack.page.ts,StackPage,landing-stack-page,,,ddl-stack,DdlStack,landing-ddl-stack,high,page-dropped;ddl-showcase
Component,landing,,rename,apps/landing/src/app/pages/ddl/story-variants/story-variants.page.ts,StoryVariantsPage,landing-story-variants-page,apps/landing/src/app/pages/ddl/story-variants/story-variants.page.html,apps/landing/src/app/pages/ddl/story-variants/story-variants.page.scss,ddl-story-variants,DdlStoryVariants,landing-ddl-story-variants,high,page-dropped;ddl-showcase
Component,landing,,rename,apps/landing/src/app/pages/ddl/uses-card-variants/uses-card-variants.page.ts,UsesCardVariantsPage,landing-uses-card-variants-page,apps/landing/src/app/pages/ddl/uses-card-variants/uses-card-variants.page.html,apps/landing/src/app/pages/ddl/uses-card-variants/uses-card-variants.page.scss,ddl-uses-card-variants,DdlUsesCardVariants,landing-ddl-uses-card-variants,high,page-dropped;ddl-showcase
Component,landing,,rename,apps/landing/src/app/pages/legal/privacy.page.ts,PrivacyPage,landing-privacy-page,apps/landing/src/app/pages/legal/privacy.page.html,apps/landing/src/app/pages/legal/privacy.page.scss,privacy,Privacy,landing-privacy,med,page-dropped;page-container
Component,landing,,rename,apps/landing/src/app/pages/legal/terms.page.ts,TermsPage,landing-terms-page,apps/landing/src/app/pages/legal/terms.page.html,apps/landing/src/app/pages/legal/terms.page.scss,terms,Terms,landing-terms,med,page-dropped;page-container
Component,landing,,rename,apps/landing/src/app/pages/not-found/not-found.page.ts,NotFoundPage,landing-not-found-page,apps/landing/src/app/pages/not-found/not-found.page.html,apps/landing/src/app/pages/not-found/not-found.page.scss,not-found,NotFound,landing-not-found,med,page-dropped;page-container
Component,landing,,rename,apps/landing/src/app/pages/uses/uses.page.ts,UsesPage,landing-uses-page,apps/landing/src/app/pages/uses/uses.page.html,apps/landing/src/app/pages/uses/uses.page.scss,uses,Uses,landing-uses,med,page-dropped;page-container
Component,console,,rename,libs/console/feature-about-failure/src/lib/failure-detail/failure-detail.ts,FailureDetailComponent,console-failure-detail,libs/console/feature-about-failure/src/lib/failure-detail/failure-detail.html,libs/console/feature-about-failure/src/lib/failure-detail/failure-detail.scss,failure.detail,FailureDetail,console-failure-detail,high,
Component,console,,rename,libs/console/feature-about-failure/src/lib/failure-form-page/failure-form-page.ts,FailureFormPageComponent,console-failure-form-page,libs/console/feature-about-failure/src/lib/failure-form-page/failure-form-page.html,libs/console/feature-about-failure/src/lib/failure-form-page/failure-form-page.scss,failure.form,FailureForm,console-failure-form,high,page-dropped
Component,console,,rename,libs/console/feature-about-failure/src/lib/failures-page/failures-page.ts,FailuresPageComponent,console-failures-page,libs/console/feature-about-failure/src/lib/failures-page/failures-page.html,libs/console/feature-about-failure/src/lib/failures-page/failures-page.scss,failures,Failures,console-failures,med,page-dropped;page-container
Component,console,,rename,libs/console/feature-about-principle/src/lib/principle-detail/principle-detail.ts,PrincipleDetailComponent,console-principle-detail,libs/console/feature-about-principle/src/lib/principle-detail/principle-detail.html,libs/console/feature-about-principle/src/lib/principle-detail/principle-detail.scss,principle.detail,PrincipleDetail,console-principle-detail,high,
Component,console,,rename,libs/console/feature-about-principle/src/lib/principle-form-page/principle-form-page.ts,PrincipleFormPageComponent,console-principle-form-page,libs/console/feature-about-principle/src/lib/principle-form-page/principle-form-page.html,libs/console/feature-about-principle/src/lib/principle-form-page/principle-form-page.scss,principle.form,PrincipleForm,console-principle-form,high,page-dropped
Component,console,,rename,libs/console/feature-about-principle/src/lib/principles-page/principles-page.ts,PrinciplesPageComponent,console-principles-page,libs/console/feature-about-principle/src/lib/principles-page/principles-page.html,libs/console/feature-about-principle/src/lib/principles-page/principles-page.scss,principles,Principles,console-principles,med,page-dropped;page-container
Component,console,,rename,libs/console/feature-admin/src/lib/invite-dialog/invite-dialog.ts,InviteDialogComponent,console-invite-dialog,,,invite.dialog,InviteDialog,console-invite-dialog,high,
Component,console,,rename,libs/console/feature-admin/src/lib/users-page/users-page.ts,UsersPageComponent,console-users-page,libs/console/feature-admin/src/lib/users-page/users-page.html,libs/console/feature-admin/src/lib/users-page/users-page.scss,users,Users,console-users,med,page-dropped;page-container
Component,console,,rename,libs/console/feature-auth/src/lib/callback/callback.ts,CallbackComponent,console-callback,,,callback,Callback,console-callback,med,container
Component,console,,rename,libs/console/feature-auth/src/lib/forgot-password/forgot-password.ts,ForgotPasswordComponent,console-forgot-password,libs/console/feature-auth/src/lib/forgot-password/forgot-password.html,libs/console/feature-auth/src/lib/forgot-password/forgot-password.scss,forgot-password,ForgotPassword,console-forgot-password,med,container
Component,console,,rename,libs/console/feature-auth/src/lib/login/login.ts,LoginComponent,console-login,libs/console/feature-auth/src/lib/login/login.html,libs/console/feature-auth/src/lib/login/login.scss,login,Login,console-login,med,container
Component,console,,rename,libs/console/feature-auth/src/lib/reset-password/reset-password.ts,ResetPasswordComponent,console-reset-password,libs/console/feature-auth/src/lib/reset-password/reset-password.html,libs/console/feature-auth/src/lib/reset-password/reset-password.scss,reset-password,ResetPassword,console-reset-password,med,container
Component,console,,rename,libs/console/feature-auth/src/lib/set-password/set-password.ts,SetPasswordComponent,console-set-password,libs/console/feature-auth/src/lib/set-password/set-password.html,libs/console/feature-auth/src/lib/set-password/set-password.scss,set-password,SetPassword,console-set-password,med,container
Component,console,,rename,libs/console/feature-blog/src/lib/blog-post-detail/blog-post-detail.ts,BlogPostDetailComponent,console-blog-post-detail,libs/console/feature-blog/src/lib/blog-post-detail/blog-post-detail.html,,blog-post.detail,BlogPostDetail,console-blog-post-detail,high,
Component,console,,rename,libs/console/feature-blog/src/lib/post-form-page/post-form-page.ts,PostFormPageComponent,console-post-form-page,libs/console/feature-blog/src/lib/post-form-page/post-form-page.html,libs/console/feature-blog/src/lib/post-form-page/post-form-page.scss,post.form,PostForm,console-post-form,high,page-dropped
Component,console,,rename,libs/console/feature-blog/src/lib/posts-page/posts-page.ts,PostsPageComponent,console-posts-page,libs/console/feature-blog/src/lib/posts-page/posts-page.html,libs/console/feature-blog/src/lib/posts-page/posts-page.scss,posts,Posts,console-posts,med,page-dropped;page-container
Component,console,,rename,libs/console/feature-category/src/lib/categories-page/categories-page.ts,CategoriesPageComponent,console-categories-page,libs/console/feature-category/src/lib/categories-page/categories-page.html,libs/console/feature-category/src/lib/categories-page/categories-page.scss,categories,Categories,console-categories,med,page-dropped;page-container
Component,console,,rename,libs/console/feature-category/src/lib/category-detail/category-detail.ts,CategoryDetailComponent,console-category-detail,libs/console/feature-category/src/lib/category-detail/category-detail.html,,category.detail,CategoryDetail,console-category-detail,high,
Component,console,,rename,libs/console/feature-category/src/lib/category-form-page/category-form-page.ts,CategoryFormPageComponent,console-category-form-page,libs/console/feature-category/src/lib/category-form-page/category-form-page.html,libs/console/feature-category/src/lib/category-form-page/category-form-page.scss,category.form,CategoryForm,console-category-form,high,page-dropped
Component,console,,rename,libs/console/feature-ddl/src/lib/ddl.ts,DdlComponent,console-ddl,,,ddl,Ddl,console-ddl,med,container
Component,console,,rename,libs/console/feature-ddl/src/lib/long-form/long-form.ts,LongFormDemoComponent,console-ddl-long-form,libs/console/feature-ddl/src/lib/long-form/long-form.html,libs/console/feature-ddl/src/lib/long-form/long-form.scss,ddl-long.form,DdlLongForm,console-ddl-long-form,high,
Component,console,,rename,libs/console/feature-error/src/lib/error-page.ts,ErrorPageComponent,console-error-page,,,error,Error,console-error,med,page-dropped;page-container
Component,console,,rename,libs/console/feature-experience/src/lib/experience-detail/experience-detail.ts,ExperienceDetailComponent,console-experience-detail,libs/console/feature-experience/src/lib/experience-detail/experience-detail.html,,experience.detail,ExperienceDetail,console-experience-detail,high,
Component,console,,rename,libs/console/feature-experience/src/lib/experience-form-page/experience-form-page.ts,ExperienceFormPageComponent,console-experience-form-page,libs/console/feature-experience/src/lib/experience-form-page/experience-form-page.html,libs/console/feature-experience/src/lib/experience-form-page/experience-form-page.scss,experience.form,ExperienceForm,console-experience-form,high,page-dropped
Component,console,,rename,libs/console/feature-experience/src/lib/experiences-page/experiences-page.ts,ExperiencesPageComponent,console-experiences-page,libs/console/feature-experience/src/lib/experiences-page/experiences-page.html,libs/console/feature-experience/src/lib/experiences-page/experiences-page.scss,experiences,Experiences,console-experiences,med,page-dropped;page-container
Component,console,,rename,libs/console/feature-home/src/lib/home.ts,HomeComponent,console-home,,,home,Home,console-home,med,container
Component,console,,rename,libs/console/feature-media/src/lib/media-drawer/media-drawer.ts,MediaDrawerComponent,console-media-drawer,libs/console/feature-media/src/lib/media-drawer/media-drawer.html,libs/console/feature-media/src/lib/media-drawer/media-drawer.scss,media.drawer,MediaDrawer,console-media-drawer,high,
Component,console,,rename,libs/console/feature-media/src/lib/media-page/media-page.ts,MediaPageComponent,console-media-page,libs/console/feature-media/src/lib/media-page/media-page.html,libs/console/feature-media/src/lib/media-page/media-page.scss,media,Media,console-media,med,page-dropped;page-container
Component,console,,rename,libs/console/feature-media/src/lib/media-trash/media-trash.ts,MediaTrashComponent,console-media-trash,libs/console/feature-media/src/lib/media-trash/media-trash.html,libs/console/feature-media/src/lib/media-trash/media-trash.scss,media.trash,MediaTrash,console-media-trash,med,container
Component,console,,rename,libs/console/feature-messages/src/lib/message-detail/message-detail.ts,MessageDetailComponent,console-message-detail,libs/console/feature-messages/src/lib/message-detail/message-detail.html,libs/console/feature-messages/src/lib/message-detail/message-detail.scss,message.detail,MessageDetail,console-message-detail,high,
Component,console,,rename,libs/console/feature-messages/src/lib/messages-page/messages-page.ts,MessagesPageComponent,console-messages-page,libs/console/feature-messages/src/lib/messages-page/messages-page.html,libs/console/feature-messages/src/lib/messages-page/messages-page.scss,messages,Messages,console-messages,med,page-dropped;page-container
